cadence,x,y
95555,-1802.343817,-1620.920874
95556,-1802.301914,-1620.926416
95557,-1802.314888,-1620.945997
95558,-1802.307806,-1620.918130
95559,-1802.500296,-1621.133134
95560,-1802.459966,-1621.026461
95561,-1802.451436,-1621.236604
95562,-1802.433030,-1621.067872
95563,-1802.589088,-1621.355726
95564,-1802.532566,-1621.145432
95565,-1802.530882,-1621.069878
95566,-1802.343853,-1620.959799
95567,-1802.384506,-1620.981521
95568,-1802.561949,-1621.433820
95569,-1802.335753,-1621.001467
95570,-1802.409677,-1621.081371
95571,-1802.350286,-1620.982881
95572,-1802.383536,-1621.033626
95573,-1802.374058,-1620.989039
95574,-1802.286377,-1621.935660
95575,-1802.068701,-1621.964096
95576,-1802.328279,-1620.974158
95577,-1802.489269,-1621.447458
95578,-1802.329535,-1620.965077
95579,-1802.485663,-1621.251438
95580,-1802.448702,-1621.238223
95581,-1802.480091,-1621.225538
95582,-1802.583567,-1621.278201
95583,-1802.542822,-1621.508384
95584,-1802.416016,-1621.502491
95585,-1802.256938,-1621.656407
95586,-1802.113498,-1621.697483
95587,-1802.013597,-1621.844296
95588,-1802.286713,-1621.744241
95589,-1802.484273,-1621.461781
95591,-1803.188065,-1621.875635
95592,-1803.148403,-1622.030436
95593,-1803.184733,-1622.078047
95594,-1802.965398,-1621.613913
95595,-1803.001251,-1621.694656
95596,-1802.671448,-1621.128775
95597,-1803.019533,-1621.648781
95598,-1802.917265,-1621.750712
95599,-1802.551341,-1621.054895
95600,-1802.567048,-1621.076474
95601,-1802.593503,-1621.044811
95602,-1802.587498,-1621.098459
95603,-1802.440259,-1621.024773
95604,-1802.497010,-1621.077921
95605,-1802.483894,-1621.089730
95606,-1802.456140,-1621.016530
95607,-1802.411518,-1621.000278
95608,-1802.401495,-1621.070507
95609,-1802.427362,-1620.995429
95610,-1802.405812,-1620.985077
95611,-1802.406316,-1621.086251
95612,-1802.370887,-1621.031636
95613,-1802.409845,-1621.066935
95614,-1802.402064,-1621.052916
95615,-1802.391653,-1621.039025
95616,-1802.387860,-1621.033985
95617,-1802.384380,-1621.042676
95618,-1802.404453,-1621.030446
95619,-1802.405910,-1621.070982
95620,-1802.527625,-1621.140994
95621,-1802.475726,-1621.079672
95622,-1802.492457,-1621.217712
95623,-1802.375519,-1620.919524
95624,-1802.526775,-1621.493871
95625,-1802.370380,-1620.943834
95626,-1802.451129,-1621.042606
95627,-1802.489276,-1621.404807
95628,-1801.788007,-1621.689487
95629,-1802.064325,-1621.791836
95630,-1802.326696,-1620.865212
95631,-1801.657380,-1621.865253
95632,-1802.288568,-1620.945573
95633,-1802.297272,-1620.905688
95634,-1802.286503,-1620.966627
95635,-1802.309882,-1620.904117
95636,-1802.329934,-1620.955887
95637,-1802.326788,-1620.933794
95638,-1802.319181,-1620.952289
95639,-1802.328212,-1620.917640
95640,-1802.321982,-1620.912367
95641,-1802.293740,-1620.967444
95642,-1802.317599,-1620.866600
95643,-1802.313125,-1620.917681
95644,-1802.330794,-1620.827425
95645,-1802.311527,-1620.811546
95646,-1802.264563,-1620.704547
95647,-1802.315765,-1620.673783
95648,-1802.318457,-1620.799008
95649,-1802.310939,-1620.775143
95650,-1802.300400,-1620.781221
95651,-1802.300962,-1620.790795
95652,-1802.296495,-1620.783017
95653,-1802.292688,-1620.696566
95654,-1802.296708,-1620.725500
95655,-1802.284899,-1620.812001
95656,-1802.265458,-1620.741125
95657,-1802.262625,-1620.746804
95658,-1802.282306,-1620.733144
95659,-1802.245177,-1620.712696
95660,-1802.250439,-1620.694677
95661,-1802.235534,-1620.715385
95662,-1802.534111,-1621.061636
95663,-1802.565171,-1621.051640
95664,-1802.586315,-1621.073236
95665,-1802.972406,-1621.715793
95666,-1802.985114,-1621.712885
95667,-1802.851415,-1621.490437
95668,-1802.628176,-1621.243418
95669,-1802.578807,-1621.041237
95670,-1802.565229,-1621.145532
95671,-1802.457693,-1621.028156
95672,-1802.412431,-1621.044809
95673,-1802.376332,-1620.952498
95674,-1802.405880,-1621.015939
95675,-1802.398829,-1621.017505
95676,-1802.396137,-1621.040931
95677,-1802.429036,-1621.082475
95678,-1802.510657,-1621.182029
95679,-1802.401764,-1620.952686
95680,-1802.610296,-1621.377900
95681,-1802.580628,-1621.288523
95682,-1802.370546,-1620.887278
95683,-1802.359209,-1621.636645
95684,-1802.156949,-1621.729230
