cadence,x,y
95916,226.115603,879.744461
95917,226.140088,879.742475
95918,226.169452,879.724949
95919,226.169242,879.730794
95920,226.186316,879.730045
95921,226.207862,879.742449
95922,226.219940,879.735244
95923,226.224915,879.733781
95924,226.245191,879.710764
95925,226.254752,879.720312
95926,226.268507,879.714651
95927,226.257799,879.722591
95928,226.283754,879.709394
95929,226.302590,879.707003
95930,226.290008,879.700344
95931,226.321218,879.707466
95932,226.337595,879.713202
95933,226.325404,879.693120
95934,226.332673,879.700115
95935,226.343269,879.692412
95936,226.352285,879.681177
95937,226.359019,879.688814
95938,226.254892,879.724846
95939,226.261593,879.706752
95940,226.282884,879.714039
95941,226.289463,879.694523
95942,226.306243,879.710093
95943,226.289347,879.709279
95944,226.307882,879.708485
95945,226.332926,879.692047
95946,226.350133,879.712360
95947,226.341035,879.696685
95948,226.362540,879.710223
95949,226.383246,879.691354
95950,226.236643,879.715523
95951,226.172952,879.729555
95952,226.204424,879.730567
95953,226.231970,879.727649
95954,226.234478,879.722697
95955,226.247204,879.706189
95956,226.253035,879.724136
95957,226.271428,879.719719
95958,226.302326,879.704588
95959,226.306388,879.702482
95960,226.315873,879.696966
95961,226.326246,879.691976
95962,226.335217,879.705051
95963,226.346455,879.698034
95964,226.350855,879.683891
95965,226.377629,879.687817
95966,226.374012,879.674650
95967,226.400634,879.676891
95968,226.419308,879.670394
95969,226.427683,879.658603
95970,226.446203,879.682454
95971,226.468015,879.668942
95972,226.492836,879.658857
95973,226.493524,879.657854
95975,226.090130,879.759657
95976,226.085147,879.741438
95977,226.092801,879.753109
95978,226.139893,879.723205
95979,226.156874,879.723601
95980,226.186055,879.720941
95981,226.185552,879.719214
95982,226.210142,879.709050
95983,226.221122,879.724860
95984,226.243622,879.720446
95985,226.247404,879.724021
95986,226.252088,879.716826
95987,226.284617,879.707851
95988,226.267206,879.707531
95989,226.280855,879.706472
95990,226.297637,879.702835
95991,226.297092,879.698114
95992,226.303279,879.698625
95993,226.345541,879.687821
95994,226.346607,879.689339
95995,226.352306,879.681439
95996,226.372378,879.670663
95997,226.393714,879.673285
95998,226.140124,879.726340
95999,226.143878,879.731269
96000,226.162438,879.741062
96001,226.172225,879.735710
96002,226.197970,879.735943
96003,226.224775,879.737773
96004,226.248581,879.705835
96005,226.244889,879.711009
96006,226.268024,879.716254
96007,226.270053,879.702016
96008,226.280463,879.709762
96009,226.293620,879.705211
96010,226.289307,879.703277
96011,226.305987,879.690779
96012,226.332637,879.689817
96013,226.343282,879.691060
